t_s,e_ee_pos_mm,tau_q_max_Nm
6.860000,4.002157,0.508114
6.870000,3.994227,0.505941
6.880000,3.986365,0.503728
6.890000,3.978571,0.501475
6.900000,3.970846,0.499131
6.910000,3.963190,0.496794
6.920000,3.955604,0.494415
6.930000,3.948088,0.491994
6.940000,3.940644,0.489530
6.950000,3.933273,0.487024
6.960000,3.925975,0.484476
6.970000,3.918752,0.481885
6.980000,3.911603,0.479252
6.990000,3.904529,0.476577
7.000000,3.897531,0.473737
7.010000,3.890607,0.470977
7.020000,3.883757,0.468172
7.030000,3.876981,0.465323
7.040000,3.870280,0.462430
7.050000,3.863654,0.459493
7.060000,3.857102,0.456512
7.070000,3.850625,0.453487
7.080000,3.844223,0.450418
7.090000,3.837895,0.447304
7.100000,3.831640,0.443947
7.110000,3.825459,0.440747
7.120000,3.819349,0.437500
7.130000,3.813312,0.434207
7.140000,3.807346,0.430867
7.150000,3.801452,0.427482
7.160000,3.795628,0.424050
7.170000,3.789876,0.420573
7.180000,3.784193,0.417049
7.190000,3.778581,0.413479
7.200000,3.773038,0.409584
7.210000,3.767564,0.405925
7.220000,3.762158,0.402218
7.230000,3.756820,0.398462
7.240000,3.751551,0.394658
7.250000,3.746350,0.390805
7.260000,3.741216,0.386905
7.270000,3.736150,0.382957
7.280000,3.731152,0.378960
