t_s,e_ee_pos_mm,tau_q_max_Nm
6.700000,159.344930,1.734462
6.710000,159.087436,1.815331
6.720000,158.825963,1.891343
6.730000,158.559952,1.976552
6.740000,158.288908,2.061199
6.750000,158.012390,2.142305
6.760000,157.730001,2.219981
6.770000,157.441387,2.294314
6.780000,157.146231,2.365380
6.790000,156.844248,2.433245
6.800000,156.535186,1.819802
6.810000,156.220753,1.897476
6.820000,155.902494,1.970423
6.830000,155.579879,2.039290
6.840000,155.252440,2.117962
6.850000,154.919760,2.195801
6.860000,154.581471,2.270253
6.870000,154.237242,2.341410
6.880000,153.886780,2.409353
6.890000,153.529826,2.474154
6.900000,153.166148,1.914045
6.910000,152.797403,1.989178
6.920000,152.425078,2.059809
6.930000,152.048663,2.126556
6.940000,151.667704,2.189782
6.950000,151.281803,2.252903
6.960000,150.890604,2.324880
6.970000,150.493793,2.393653
6.980000,150.091090,2.459299
6.990000,149.682249,2.521883
7.000000,149.267052,1.985209
7.010000,148.847092,2.057559
7.020000,148.423807,2.125539
7.030000,147.996708,2.189754
7.040000,147.565371,2.250552
7.050000,147.129421,2.308144
7.060000,146.688526,2.362662
7.070000,146.242395,2.419141
7.080000,145.790771,2.481685
7.090000,145.333428,2.541244
7.100000,144.870170,2.032097
7.110000,144.402530,2.100868
7.120000,143.931890,2.165430
7.130000,143.457798,2.226376
7.140000,142.979860,2.284044
7.150000,142.497732,2.338635
7.160000,142.011111,2.390279
7.170000,141.519736,2.439064
7.180000,141.023374,2.485059
7.190000,140.521826,2.530440
7.200000,140.014919,2.053703
7.210000,139.504116,2.118268
7.220000,138.990737,2.178828
7.230000,138.474368,2.235957
7.240000,137.954650,2.289978
7.250000,137.431272,2.341083
7.260000,136.903963,2.389393
7.270000,136.372490,2.434991
7.280000,135.836650,2.477942
