t_s,Ltot_x_Nms,Ltot_y_Nms,Ltot_z_Nms,Ltot_norm_Nms
157.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
157.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
158.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
158.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
159.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
159.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
160.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
160.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
161.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
161.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
162.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
162.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
163.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
163.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
164.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
164.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
165.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
165.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
166.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
166.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
167.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
167.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
168.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
168.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
169.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
169.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
170.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
170.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
171.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
171.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
172.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
172.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
173.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
173.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
174.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
174.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
175.010,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
175.510,1.247184e-03,5.567342e-04,-5.518562e-04,1.473080e-03
