t_s,e_ee_pos_mm,e_ee_ori_deg,tau_q_max_Nm,tau_q_max_ang_Nm
4.530000,1.787629,9.008488,0.329772,0.023477
4.540000,1.787373,9.059623,0.331246,0.023745
4.550000,1.787708,9.110785,0.333718,0.024012
4.560000,1.788638,9.161973,0.336171,0.024278
4.570000,1.790165,9.213184,0.338606,0.024544
4.580000,1.792289,9.264416,0.341023,0.024810
4.590000,1.795011,9.315667,0.343422,0.025075
4.600000,1.798331,9.366934,0.345803,0.025339
4.610000,1.802247,9.418217,0.348166,0.025603
4.620000,1.806756,9.469512,0.350510,0.025866
4.630000,1.811855,9.520819,0.352837,0.026129
4.640000,1.817541,9.572133,0.355279,0.026391
4.650000,1.823808,9.623454,0.358142,0.026653
4.660000,1.830651,9.674780,0.360991,0.026914
4.670000,1.838063,9.726108,0.363827,0.027174
4.680000,1.846036,9.777437,0.366650,0.027434
4.690000,1.854563,9.828764,0.369459,0.027693
4.700000,1.863636,9.880087,0.372254,0.027951
4.710000,1.873245,9.931404,0.375036,0.028208
4.720000,1.883380,9.982713,0.377803,0.028465
4.730000,1.894031,10.034012,0.380558,0.028721
4.740000,1.905187,10.085300,0.383298,0.028976
4.750000,1.916837,10.136573,0.386025,0.029230
4.760000,1.928969,10.187830,0.388737,0.029483
4.770000,1.941571,10.239069,0.391436,0.029735
4.780000,1.954631,10.290287,0.394121,0.029987
4.790000,1.968136,10.341483,0.396792,0.030238
4.800000,1.982073,10.392654,0.399449,0.030487
4.810000,1.996429,10.443799,0.402092,0.030736
4.820000,2.011190,10.494916,0.404721,0.030984
4.830000,2.026344,10.546001,0.407335,0.031231
4.840000,2.041877,10.597053,0.409936,0.031476
4.850000,2.057775,10.648071,0.412522,0.031721
4.860000,2.074024,10.699051,0.415094,0.031964
4.870000,2.090611,10.749992,0.417652,0.032207
4.880000,2.107522,10.800892,0.420195,0.032448
4.890000,2.124744,10.851748,0.422724,0.032689
4.900000,2.142262,10.902559,0.425239,0.032928
4.910000,2.160064,10.953321,0.427739,0.033166
4.920000,2.178136,11.004034,0.430224,0.033403
4.930000,2.196464,11.054694,0.432695,0.033638
4.940000,2.215036,11.105301,0.435152,0.033872
4.950000,2.233837,11.155850,0.437593,0.034106
4.960000,2.252857,11.206341,0.440020,0.034337
4.970000,2.272080,11.256771,0.442432,0.034568
4.980000,2.291496,11.307137,0.444829,0.034797
4.990000,2.311091,11.357438,0.447212,0.035025
