t,phase,step_idx,mask_ss,Hdot_s_x,Hdot_s_y,Hdot_s_z,tau_w_x,tau_w_y,tau_w_z,e_ori_torso_deg,e_pos_torso_x,e_pos_torso_y,e_pos_torso_z,d_ee_to_target,e_ori_ee_deg,swing_arm,stance_a_idx,stance_b_idx,swing_to_idx,gait_phase_idx
13.240000,SS,1,1,-0.689083909,1.542937757,-4.377171594,-0.100538206,-0.960522924,2.148495894,0.300407907,0.000417634,-0.000007627,0.000223905,0.005434339,0.064186708,a,2,3,3,3
13.340000,SS,1,1,-0.761412915,1.359009675,-3.819820640,-0.061904198,-0.898170483,2.068581486,0.260244877,0.000509881,-0.000081302,0.000220631,0.004943101,0.051130605,a,2,3,3,3
14.260000,SS,2,1,1.093807699,-1.339774274,4.864827824,-1.962077618,0.314300356,-2.797280565,0.047232951,0.000062143,-0.000555607,-0.000113100,0.799856416,1.039151736,b,3,3,4,5
14.360000,SS,2,1,1.470908500,-0.972416151,4.999989653,-1.538287141,0.089968761,-2.561844838,0.109458314,-0.000264215,-0.000532348,0.000269270,0.798847855,1.608317826,b,3,3,4,5
14.460000,SS,2,1,1.410054382,-0.809449139,4.999995287,-1.366042861,0.180642127,-2.430287243,0.176061769,-0.000575848,-0.000792303,0.000529504,0.796257903,1.894726195,b,3,3,4,5
14.560000,SS,2,1,1.448864375,-0.694870530,4.999997384,-1.257702319,0.285002563,-2.368263994,0.245373791,-0.000984206,-0.000922312,0.000801746,0.791453953,1.984672038,b,3,3,4,5
14.660000,SS,2,1,1.407416112,-0.638188297,4.999998316,-1.082082798,0.370249474,-2.212658298,0.316269682,-0.001481686,-0.001075314,0.001021811,0.783929334,1.944247091,b,3,3,4,5
14.760000,SS,2,1,1.299370597,-0.656222697,4.999998737,-0.838694703,0.474887177,-1.961936469,0.387480632,-0.002057199,-0.001223690,0.001197069,0.773309750,1.822552213,b,3,3,4,5
14.860000,SS,2,1,1.145084615,-0.712845616,4.999998969,-0.590595927,0.578724443,-1.686308610,0.458311004,-0.002680799,-0.001365546,0.001318321,0.759343942,1.655362006,b,3,3,4,5
14.960000,SS,2,1,0.949620486,-0.814052212,4.999999051,-0.314838335,0.685474723,-1.367329778,0.527989241,-0.003343348,-0.001490862,0.001386868,0.741895079,1.467938951,b,3,3,4,5
15.060000,SS,2,1,0.715636280,-0.950752949,4.999999046,-0.020603098,0.790005191,-1.020511631,0.595821911,-0.004026460,-0.001597248,0.001400144,0.720932139,1.277230540,b,3,3,4,5
15.160000,SS,2,1,0.461678607,-1.103930973,4.999999011,0.256477329,0.882152930,-0.688734257,0.661211189,-0.004709973,-0.001679842,0.001356439,0.696519607,1.094386253,b,3,3,4,5
15.260000,SS,2,1,0.181107955,-1.280600378,4.999998912,0.557990466,0.972679146,-0.329088314,0.723217062,-0.005386435,-0.001728173,0.001259963,0.668808671,0.926057759,b,3,3,4,5
15.360000,SS,2,1,-0.105385984,-1.457224582,4.999998781,0.825298892,1.048222889,-0.007618157,0.781332200,-0.006031841,-0.001743231,0.001105883,0.638027114,0.775608275,b,3,3,4,5
15.460000,SS,2,1,-0.390745796,-1.638132682,4.999998640,1.081896271,1.112867533,0.297529977,0.834895433,-0.006640429,-0.001715413,0.000898855,0.604469786,0.644207743,b,3,3,4,5
15.560000,SS,2,1,-0.666771086,-1.816624742,4.999998508,1.307413414,1.166600231,0.562065959,0.883429836,-0.007198509,-0.001644909,0.000637300,0.568489876,0.531528813,b,3,3,4,5
15.660000,SS,2,1,-0.922224810,-1.985388305,4.999998393,1.489882746,1.212498746,0.771980548,0.926583957,-0.007611350,-0.001477954,0.000323409,0.530489283,0.436377326,b,3,3,4,5
15.760000,SS,2,1,-1.156138841,-2.140939839,4.999998289,1.633490486,1.260145898,0.928179779,0.964058564,-0.007816018,-0.001224447,-0.000032037,0.490909926,0.357123875,b,3,3,4,5
15.860000,SS,2,1,-1.370457311,-2.275662021,4.999998204,1.727625921,1.327260895,1.005238150,0.995722226,-0.007933979,-0.000975119,-0.000435142,0.450225151,0.291991449,b,3,3,4,5
15.960000,SS,2,1,-1.566444464,-2.373373651,4.999998155,1.753353865,1.456869551,0.953164696,1.021588653,-0.008009823,-0.000732133,-0.000910838,0.408932326,0.239368023,b,3,3,4,5
16.060000,SS,2,1,-1.779821346,-2.430805865,4.999998122,1.709671479,1.803068134,0.658857669,1.041559619,-0.008101518,-0.000462756,-0.001523019,0.367549984,0.198720293,b,3,3,4,5
16.160000,SS,2,1,-2.083065343,-2.419079484,4.999998126,1.312329341,3.133289238,-0.910859997,1.055223515,-0.008379325,-0.000046982,-0.002502638,0.326637871,0.178453742,b,3,3,4,5
